Year,Quarter,Month,(PADD 1) Refinery and Blender Net Input of Crude Oil,(PADD 2) Refinery and Blender Net Input of Crude Oil,(PADD 3) Refinery and Blender Net Input of Crude Oil,(PADD 4) Refinery and Blender Net Input of Crude Oil,(PADD 5) Refinery and Blender Net Input of Crude Oil,Total US Refinery Net Input of Crude Oil
2016,2016Q1,1,35235,115438,252514,17826,73477,494490
2016,2016Q1,2,31685,105169,239811,16681,66096,459442
2016,2016Q1,3,32884,105672,267947,18058,73995,498556
2016,2016Q2,4,34745,100007,254036,15420,73400,477608
2016,2016Q2,5,36690,111828,265512,17826,71485,503341
2016,2016Q2,6,33768,110479,257359,19403,71969,492978
2016,2016Q3,7,32893,115425,270287,19575,77077,515257
2016,2016Q3,8,34037,116117,266752,18963,78525,514394
2016,2016Q3,9,33245,108732,254903,19318,73997,490195
2016,2016Q4,10,33825,110888,251344,18362,64666,479085
2016,2016Q4,11,33537,110228,259490,18783,65019,487057
2016,2016Q4,12,32952,115145,275248,18655,69992,511992
2017,2017Q1,1,32542,115384,259998,19014,72727,499665
2017,2017Q1,2,25268,101597,228979,16518,61445,433807
2017,2017Q1,3,27610,114641,263568,18783,72884,497486
2017,2017Q2,4,31846,114023,267757,19440,75567,508633
2017,2017Q2,5,34451,118383,288212,19114,73734,533894
2017,2017Q2,6,33863,117307,275420,18335,71197,516122
2017,2017Q3,7,33420,119644,286021,20148,77608,536841
2017,2017Q3,8,35333,123424,266929,20338,80372,526396
2017,2017Q3,9,33169,110971,223108,20119,76439,463806
2017,2017Q4,10,33981,105756,268322,19332,70506,497897
2017,2017Q4,11,34795,112056,268422,17471,72444,505188
2017,2017Q4,12,34587,118372,285809,18519,78219,535506
2018,2018Q1,1,33107,115808,271933,19538,74189,514575
2018,2018Q1,2,27091,101857,232240,18343,66684,446215
2018,2018Q1,3,28513,114873,275001,19058,79174,516619
2018,2018Q2,4,33308,117135,265981,17223,69339,502986
2018,2018Q2,5,35878,125381,274736,18151,71885,526031
2018,2018Q2,6,33838,119361,278192,19473,79106,529970
2018,2018Q3,7,35314,120652,281733,19893,80475,538067
2018,2018Q3,8,33108,123851,289856,18868,80627,546310
2018,2018Q3,9,30088,109414,273792,19689,76743,509726
2018,2018Q4,10,28585,100442,286111,19710,73931,508779
2018,2018Q4,11,30235,114588,277537,17372,75131,514863
2018,2018Q4,12,32486,121859,290610,19010,75726,539691
2019,2019Q1,1,31404,120238,274595,19638,74397,520272
2019,2019Q1,2,21722,98749,240551,16927,65732,443681
2019,2019Q1,3,28301,109578,264130,18833,73133,493975
2019,2019Q2,4,30861,112300,263752,17078,66245,490236
2019,2019Q2,5,33700,109421,280897,20437,73848,518303
2019,2019Q2,6,31053,117498,273773,20312,74438,517074
2019,2019Q3,7,27510,126585,279199,21289,77848,532431
2019,2019Q3,8,26235,127293,282182,21445,79047,536202
2019,2019Q3,9,24566,116636,261038,19164,70689,492093
2019,2019Q4,10,22644,113258,258510,16870,74825,486107
2019,2019Q4,11,23966,114679,265681,17723,72404,494453
2019,2019Q4,12,24919,121730,279028,20029,74863,520569
2020,2020Q1,1,23790,117548,272540,19304,69902,503084
2020,2020Q1,2,19986,108849,243346,18059,69857,460097
2020,2020Q1,3,19747,106648,261727,17077,66945,472144
2020,2020Q2,4,15822,87405,217152,13218,49573,383170
2020,2020Q2,5,18523,95814,221336,15070,51266,402009
2020,2020Q2,6,18167,99667,224330,17315,52552,412031
2020,2020Q3,7,16212,111416,240724,18947,57042,444341
2020,2020Q3,8,18573,113605,228684,18450,59391,438703
2020,2020Q3,9,16451,105215,209989,17582,57948,407185
2020,2020Q4,10,17657,106378,218513,16479,57760,416787
2020,2020Q4,11,17734,105090,228017,16546,56324,423711
2020,2020Q4,12,18362,106235,240269,16945,56523,438334
2021,2021Q1,1,18510,112467,245489,17332,56480,450278
2021,2021Q1,2,16567,92328,169170,16233,52161,346459
2021,2021Q1,3,20986,112124,232866,17271,62627,445874
2021,2021Q2,4,18903,103620,254083,15923,62281,454810
2021,2021Q2,5,21682,115634,263201,16650,66275,483442
2021,2021Q2,6,21517,122067,258213,16606,67304,485707
